processed,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
worry payment problem may never joyce meyer motivation leadership worry,0,1,0,0,1,0,0,1
whatever decide make sure make happy,0,1,0,0,1,0,0,1
help drowning thoughts,0,0,0,1,0,1,0,0
help brother drowning,0,0,0,1,0,0,1,0
also help majority nfl coaching inept bill brien play calling wow gopats,1,1,1,0,1,0,0,0
accept challenge so literally even feel exhilaration victory george patton,0,1,0,0,1,0,0,0
roommate okay not spell autocorrect terrible firstworldprobs,1,0,1,0,0,0,0,0
no so cute atsu probably shy photo cherry helped cute,0,0,0,0,1,0,0,0
think human ense recognizing impending doom,0,1,0,0,0,1,0,0
rooneys fucking untouchable not fucking dreadful depay looked decent ish tonight,1,0,1,0,0,0,0,0
pretty depressing hit pan favourite highlighter,0,0,1,0,0,1,0,0
pussy weak heard so shut freak bitch got threaten pregt,1,0,1,0,0,0,0,0
making yearly transition excited hopeful college returner sick exhausted pessimist college,0,1,1,0,0,1,0,0
hard dance devil back so shake,0,0,0,0,0,0,0,0
tiller breezy collab album rapping singing probably fire,0,0,0,0,1,0,0,1
shout girl just hit car not get lucky no scratch also spared wrath sleep deprived kait,1,0,0,0,0,1,0,0
broadband shocking regretting signing angry shouldofgonewithvirgin,1,0,1,0,0,0,0,0
people need look definition protest not protesting called vandalism angry stop,1,0,1,0,0,1,0,0
look teef growl,1,0,1,1,0,0,0,0
star trek online update download oh fuming yay,1,0,1,0,1,1,0,0
bitter battle weeter victory,0,1,0,0,1,0,0,0
not stop finished dejected luckily no one bathroom so go stall wait pants dry,1,0,1,0,0,1,0,0
usa embarrassing watch last time guy game horrible joke,1,0,1,0,0,0,0,0
new york several baloch indian activist hold demonstration outside headquarters demanding pak stop exporting terror india,0,0,0,1,0,1,0,0
awareness time awareness time lost awareness time,0,1,0,0,1,0,0,1
glee filled normy dry humping recent high profile celebrity break pathetic wrong world today,1,0,1,0,0,0,0,0
guy see next video fucking horrid,1,0,1,1,0,1,0,0
fucking muppet stalker,1,0,1,0,0,0,0,0
like optimism,0,1,0,0,1,0,0,0
cat bloody lucky rspca not open 3am last night fuming,1,0,1,0,1,0,0,0
remember well happy afraid positive,0,1,0,1,1,0,0,1
autocorrect change resent greatly,1,0,1,0,0,0,0,0
mean not done watching pilot nice see group actor perform without story lines dripping relentless nihilism,1,1,1,0,1,0,0,0
would never strategically vote someone not agree lot clinton vote based fear negativity,1,0,1,1,0,0,0,0
so much trouble not think rev see funny side project,0,0,0,1,1,1,0,0
people always get offended everyone situation different just kid not mean settle,1,0,1,0,0,1,0,0
find way top glee,0,1,0,0,1,0,0,1
hater low self worth self righteous delusion cower thought change change inevitable,1,0,1,0,0,0,0,0
smile every morning posit head start client relation,0,1,0,0,1,0,0,0
saved ordering risk life not panic stayed calm rescued,0,1,0,0,1,0,0,0
more little prick sting come tennessee get it1,0,0,0,0,0,0,0,0
uggh really horrible not bad person stretch imagination hope person realizes,0,1,1,1,1,0,0,1
young people so bitter older contestant probably know make bakewell tart g,1,0,1,0,1,1,0,0
living depression not mean must defeated every day sa new day yesterday not decide today look like,0,1,0,0,1,1,0,0
wake fresh terror threat sounding alert mumbai praying safety security everybody city maharashtra news,0,0,0,1,0,0,0,0
tamra would fuck wung tamra kelly piece needstobeadmitted bully,1,0,1,0,0,0,0,0
accusd india hr violation kashmir refusd name india role fomenting terror pakistan ttp bla mqm shame zh,1,0,1,0,0,1,1,0
7 week till pick camera though think group cemetery shoot october make photography,0,1,0,0,1,0,0,0
yes cheering homecoming game,0,1,0,0,1,0,0,1
so shy freshman year guy introduced asking spoke english,0,1,0,0,1,1,0,0
love happiness sadness feeling dependent another person,0,1,0,0,1,0,0,1
good one reporter quit,0,0,0,0,0,0,0,0
want start biker gang together gta online biker dlc come,0,1,0,0,1,0,0,0
laughing loud wow going say really haha seen chris nah not even snap anymore dude,1,0,1,0,1,0,1,0
possible changing med best not done stress difficult tell part despair circumstantial drug,0,0,0,0,0,1,0,0
felt surprisingly gloomy bad scout today recognize just rng yeah not spend many gem,0,1,0,0,1,1,0,0
also definitely still bitter yellow ranger not asian asian representation hollywood essentially shrug anyway,1,0,1,0,0,0,0,0
irony protesting kind stuff orwellian nightmare think fighting,1,0,1,0,0,0,0,0
nah way horrible,1,0,1,0,0,0,0,0
think just so much terror pak leader forgot difference way leader terrorist,1,0,1,1,0,0,0,0
angel delight everything,0,0,0,0,1,0,0,1
puzzle investing opening portland feodal population correlat straight snorting infuriate xlzjyhg,1,1,0,0,0,0,0,0
dire need worship session just let go everything,0,1,0,1,1,1,0,0
right back going sulk bed friday,1,1,1,0,1,1,0,0
believe going start singing snap story tractor switch little bit,0,1,0,0,1,0,0,0
first time sober birthday 6 years recovery sobriety sober soberissexy sobernative,0,1,0,0,1,0,0,0
weak people revenge strong people forgive intelligent people ignore,1,1,0,0,1,0,0,0
rage rage ep 2 coming soon keep posted tube youtubegaming rage,1,0,0,0,0,0,0,0
so proud understands love thought compassion not done clouded way,0,1,0,0,1,0,0,0
just started watching glee week addicted glee glee okay,0,0,0,0,1,0,0,1
oh god terrible,1,0,1,1,0,1,0,0
cigarette burning laura hand angle chin purse lip 104 gorgeous transition,0,0,0,0,1,0,0,1
tomorrow last episode despair arc so much shit going happen not emotionally prepared,0,1,0,1,0,0,0,0
jorge deserves honestly weak 90dayfiance,1,0,1,0,0,0,0,0
modern family never fails cheer especially phil,0,1,0,0,1,0,0,1
sometimes get sit back proud pleasing so well,0,1,0,0,1,0,0,1
follow snapchat carlabtst15 snapchat,0,1,0,0,1,0,0,0
shit not even begin describe fiery little demon straight hell,1,0,1,0,0,0,0,0
way too hard not get discouraged,1,1,0,0,0,1,0,0
ditto amazing atmosphere philipp plein cheerleader stunt london event cheer,0,0,0,0,1,0,1,1
somewhere rd rpt tht pakis wr afraid tsd asked 2 shut dn congis obliged exposed hounded time revive badlaof uri,0,0,0,0,0,0,0,0
interview preparation hate talking one dull subject matter yawnoff,1,0,1,1,0,0,0,0
manchester derby home,0,0,0,0,1,0,0,0
probably useful more woman dealing reading article woman harassed ubway concern,1,1,1,1,0,1,1,0
yep peep always cheer others fine drooling gbbo x,0,1,0,0,1,0,0,0
maybe transgender media would cover outrage,1,0,0,0,0,1,0,0
want playful relationship kick couch,0,0,0,0,1,0,0,0
romero fucking dreadful like seriously 11 month old better,1,0,1,0,0,0,0,0
day make goal challenge business goal success photographer photography thursday thoughts,0,1,0,0,1,0,0,0
since update loses power nearly 40 faster,1,0,1,0,0,1,0,0
taken granted misogyny air treated normal angry response pathological,1,0,1,0,0,0,0,0
clouded considering using camera 1 star trail 2 eyepiece projection,0,1,0,0,1,0,0,0
helluva lot more animated actual game gt lit,0,1,0,0,1,0,0,1
oh see seen so many people mourn loss surprised see tweet suppose old sa,0,0,0,0,0,1,1,0
anger resentment hatred destroyer fortune today,1,1,0,0,1,0,0,0
optimism leads success bill kerr success optimism goal,0,1,0,0,1,0,0,1
joke cut internet early mistake not reinstate no longer need engineer,1,0,1,0,0,1,0,0
just sucker pine want rake want pile just sucker pine fall song,1,0,0,0,1,0,0,0
so gutted dropped one earring ink school,0,0,0,0,0,1,0,0
quarterback wreck every time glee,0,1,0,0,1,0,0,0
